seed,frac_overlap,transfer_asr,normal_asr
0,0.0,0.66,0.72
0,0.0,0.52,0.5
0,0.33333,0.62,0.64
0,0.33333,0.24,0.48
0,0.66666,0.78,0.84
0,0.66666,0.22,0.32
0,1.0,0.84,0.7
0,1.0,0.62,0.76
1,0.0,0.62,0.52
1,0.0,0.52,0.68
1,0.33333,0.54,0.58
1,0.33333,0.6,0.66
1,0.66666,0.7,0.76
1,0.66666,0.58,0.44
1,1.0,0.58,0.58
1,1.0,0.48,0.58
2,0.0,0.78,0.64
2,0.0,0.5,0.46
2,0.33333,0.6,0.8
2,0.33333,0.2,0.66
2,0.66666,0.78,0.78
2,0.66666,0.86,0.8
2,1.0,0.72,0.78
2,1.0,0.82,0.68
3,0.0,0.16,0.46
3,0.0,0.6,0.64
3,0.33333,0.4,0.4
3,0.33333,0.58,0.42
3,0.66666,0.26,0.38
3,0.66666,0.54,0.5
3,1.0,0.26,0.32
3,1.0,0.46,0.46
