seed,frac_overlap,transfer_asr,normal_asr
0,0.0,0.66,0.78
0,0.0,0.6,0.5
0,0.33333,0.74,0.74
0,0.33333,0.48,0.64
0,0.66666,0.82,0.74
0,0.66666,0.4,0.52
0,1.0,0.84,0.78
0,1.0,0.8,0.8
1,0.0,0.5,0.6
1,0.0,0.7,0.74
1,0.33333,0.76,0.54
1,0.33333,0.46,0.48
1,0.66666,0.58,0.66
1,0.66666,0.5,0.58
1,1.0,0.72,0.7
1,1.0,0.68,0.6
2,0.0,0.78,0.68
2,0.0,0.5,0.54
2,0.33333,0.76,0.74
2,0.33333,0.64,0.64
2,0.66666,0.72,0.76
2,0.66666,0.7,0.8
2,1.0,0.76,0.68
2,1.0,0.72,0.78
3,0.0,0.42,0.56
3,0.0,0.72,0.74
3,0.33333,0.46,0.4
3,0.33333,0.44,0.44
3,0.66666,0.54,0.56
3,0.66666,0.64,0.68
3,1.0,0.56,0.48
3,1.0,0.44,0.38
